ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error
100.42899299197964,0.20270923456587145,-50.953113856835216,0.20078209371527467,5.2331542000218745,0.463053027723859,-6.171997003139811,0.3896581249666607,18.952173,19.311705,18.464426,0.8472786,0.3595314,0.4877472,,
100.3834100217127,0.6292018314516179,-50.99664347862488,0.5487861233063152,2.265349682912392,1.2569202515670084,-2.0199242967938895,1.1269164116062245,20.528557,20.631386,20.089231,0.5421543,0.10282898,0.43932533,,
100.35889207058754,0.5230307176212211,-50.960158137842434,0.5554011633320033,-1.1487703510115665,1.2315275628205082,-1.4498423954421114,1.257763784883009,20.296232,20.47917,19.748568,0.73060226,0.18293762,0.54766464,,
100.38808892852653,0.4864694619495984,-50.96000196312642,0.4692005536352547,1.7596758493993,1.116668716992538,0.2829147307205589,0.9716334257671267,20.143965,20.513458,19.518011,0.99544716,0.36949348,0.6259537,,
100.41075978852264,0.8014014952604335,-50.98691695833582,0.818240818139485,-1.8479449824695293,1.737238147230562,2.1420404222530802,1.5752289834122126,20.765774,20.723734,19.88411,0.8396244,-0.04203987,0.8816643,,
100.37691039298767,0.5380561599077818,-51.000821988642436,0.5919063286718547,-1.2190045192767127,1.2691374414795251,1.6498207828087632,1.46865251641048,20.310354,20.505451,19.281656,1.2237949,0.19509697,1.028698,,
100.36543807683812,0.3757212667254837,-50.965796173586,0.32686425225822385,0.5601998448678842,0.9772361413166305,0.1179166170211205,0.728765030685427,19.45289,19.77233,18.820654,0.9516754,0.31943893,0.6322365,,
100.40646106755169,0.49550185010331715,-50.97147772544683,0.5570903793604399,1.0264409344288377,1.6665739151309573,-0.13285195256319648,1.327870361481803,20.243532,20.396872,19.813395,0.583477,0.15333939,0.43013763,,
100.38389607774114,0.4530403124241747,-50.960721454217534,0.48624127388788,-0.18652175813459798,1.3859964292699365,-0.6885608422514686,1.1513404427123763,19.999872,20.349041,19.384851,0.9641895,0.34916878,0.61502075,,
100.40712265409164,0.2274272392329462,-50.960382575166264,0.21307012795761604,0.5146619725581362,0.5325190665725381,0.8067457946628123,0.4717673096732189,18.927729,19.430758,18.301249,1.129509,0.50302887,0.6264801,,
100.37979208143646,0.4718934253787,-50.95719349006303,0.47740277281873994,-0.9072463279685121,1.0862573047238178,-1.5242770285033858,0.9799735726265869,20.166786,20.686426,19.410412,1.2760143,0.51963997,0.75637436,,
100.40366937282012,0.3645185505274076,-51.00351867392789,0.43289465825511786,0.9740239528566911,1.0392613516314841,0.8916162522563014,1.1410581399683966,19.862314,20.08228,19.111593,0.97068596,0.21996498,0.750721,,
100.40454034435007,0.43178565876035885,-50.97242446998713,0.48721076888570175,1.4269645346306419,1.3394237903187258,0.6628829721045659,1.1733934623258455,20.025623,20.328186,19.388018,0.9401684,0.3025627,0.63760567,,
100.34217877069278,0.7941111186491436,-50.95810748123498,0.9048472382625813,1.5832113385846793,1.7379404429708183,1.304148901561625,1.5814057187311161,20.650423,20.470276,19.912195,0.5580807,-0.18014717,0.73822784,,
100.41304380003766,0.36304180519853474,-50.975041493873,0.436045092997231,1.9031929165141872,1.1245253130144515,-2.7101426130886606,1.1388449328363093,19.83719,19.798069,18.819118,0.9789505,-0.039121628,1.0180721,,
100.35826620630444,0.3425486047961053,-50.97433694573379,0.3723994203186909,0.9077260040619409,1.001173270592671,0.5329079728757186,0.8601471326000749,19.72331,20.09994,19.110147,0.98979187,0.37662888,0.613163,,
100.40301682665998,0.9805621074317188,-51.00173779074894,1.0163861764219462,-2.9128489777426436,2.4271365069987594,-4.08613933693209,2.1389798958287125,20.530535,20.169325,19.479528,0.68979645,-0.36120987,1.0510063,,
100.4447305806978,0.7832343348434984,-50.97756828694434,0.8761343948046623,3.237551509274845,1.6932864457188317,0.9125598762998948,1.6180953916661434,20.633865,20.672895,20.219023,0.45387268,0.039030075,0.4148426,,
100.36203781415816,0.36793183320326334,-50.95877393266679,0.408297327733032,1.7597955106017624,0.9943924066356888,1.090492811748371,0.915104552061388,19.75846,20.118746,19.079987,1.0387592,0.3602867,0.6784725,,
